,,Picked,Picked,Picked,Picked,Picked,Picked,Picked,Picked,Picked,Picked,Picked,Picked,Picked
Country,,AT,BE,CH,DE,DK,FI,FR,GB,IE,MT,NL,NO,SE
InventorySku,zone,,,,,,,,,,,,,
A225,07,,,,,,,903.0,,,,383.0,,
A227,07,,,,,,226.0,,,,,,,1186.0
A228,07,,,,,,,,76.0,396.0,199.0,,,
A229,07,,,,,,,,183.0,592.0,129.0,,,
A230,07,,,,,,,,83.0,339.0,143.0,,,
A231,07,,,304.0,,,,,,,,,,
A232,07,,,,,,,,40.0,177.0,,,,
A233,09,,272.0,,,,,,,,,,,
A234,09,,,,,228.0,,,,,,,,
A235,09,,,,,,,,,,,83.0,,
A236,09,,,,,310.0,,,,,,,,
A237,09,,186.0,,,,,74.0,,,,89.0,,
A238,09,,,,,,,,30.0,93.0,,,,
A239,09,,,,,,,,4.0,13.0,,,,
A240,09,,,,,,,,10.0,22.0,25.0,,,
A241,09,,,,,,,,1.0,3.0,7.0,,,
A242,09,,,,,,,,90.0,574.0,,,,
A243,09,,,,,,,,,,,,641.0,
A244,09,,,,,,,,,,,,92.0,
A245,09,475.0,,266.0,539.0,,,,,,,,,
A246,09,,3533.0,,,,,,,,,,,
A247,09,,879.0,,,,,,,,,567.0,,
A248,09,,,,,,,,,,,,2194.0,
A249,09,,,,,676.0,,,,,,,,
A250,09,,,,,,,1619.0,,,,,,
A251,09,,,,,,34.0,,,,,,,95.0
A252,09,,,1918.0,,,,,,,,,,
A253,09,,,,,,,,107.0,572.0,143.0,,,
A254,09,289.0,914.0,155.0,723.0,52.0,7.0,541.0,23.0,44.0,,131.0,154.0,29.0
A255,09,289.0,914.0,155.0,723.0,52.0,7.0,541.0,23.0,44.0,,131.0,154.0,29.0
A256,09,1151.0,,,1941.0,,,,,,60.0,,,
A257,09,1290.0,,,2047.0,,,,,,,,,
A258,09,1535.0,,2427.0,4422.0,,,,,,,,,
A259,09,1261.0,,,5170.0,,,,,,,,,
A260,09,647.0,,748.0,1700.0,,,,,,,,,
A261,09,,4131.0,,,,,,,,,,,
A262,09,,1030.0,,,,,,,,,,,
A263,09,,,,,,,,,,,1583.0,,
A264,09,,5989.0,,,,,,,,,2600.0,,
A265,09,,2825.0,,,,,,,,,598.0,,
A266,09,,,5724.0,,,,18092.0,,,,,,
A267,09,,,,,,310.0,2680.0,,,,,1930.0,
A268,09,,,,,,232.0,,,,,,,574.0
A271,09,304.0,548.0,80.0,321.0,18.0,4.0,745.0,16.0,26.0,,68.0,203.0,27.0
A272,09,304.0,548.0,80.0,321.0,18.0,4.0,745.0,16.0,26.0,,68.0,203.0,27.0
A273,09,,756.0,,,,,,,,,,,
A274,09,,,,,,,,,,,,580.0,103.0
A275,09,,,,,524.0,,,,,,,,
A276,09,,,,,311.0,,,,,,,,
A277,09,,,,,403.0,,,,,,,,
A278,09,1670.0,,2504.0,4618.0,,,,,,,,,
A279,09,,,1178.0,,,,1790.0,,,,,,
A280,09,,,,,803.0,,,,,,,,
A282,09,,,,,123.0,,,,,,,,
A283,09,,,,,,,,63.0,345.0,242.0,,,
A284,09,,,,,,,,95.0,452.0,113.0,,,
A285,09,,,,,,,,44.0,415.0,158.0,,,
A287,11,30.0,140.0,81.0,115.0,,,169.0,,,,,,
A288,11,30.0,140.0,81.0,115.0,,,169.0,,,,,,
A289,11,26.0,86.0,40.0,71.0,13.0,8.0,56.0,,14.0,1.0,32.0,48.0,21.0
A290,11,33.0,114.0,32.0,81.0,12.0,3.0,57.0,,17.0,1.0,37.0,42.0,29.0
A291,11,144.0,302.0,215.0,513.0,,,234.0,,,,185.0,,
A292,11,203.0,353.0,366.0,809.0,,,313.0,,,,221.0,,
A293,11,137.0,268.0,201.0,493.0,,,245.0,,,,98.0,,
A294,11,230.0,268.0,336.0,665.0,,,276.0,,,,203.0,,
A295,11,13.0,22.0,41.0,26.0,25.0,,51.0,,3.0,2.0,12.0,30.0,27.0
A296,11,204.0,213.0,321.0,625.0,,,308.0,,,,162.0,,
A297,11,319.0,503.0,457.0,1134.0,,,479.0,,,,306.0,,
A298,11,955.0,,,3714.0,,,,,,,,,
A299,11,,,,,,47.0,,,,,,365.0,154.0
A300,11,,,,,,26.0,,,,,,217.0,114.0
A301,11,10.0,71.0,33.0,58.0,26.0,9.0,54.0,1.0,10.0,2.0,20.0,46.0,25.0
A303,11,,,,,,18.0,,,,,,163.0,64.0
A304,11,,1644.0,,,,,,,,,,,
A305,11,,,,,,47.0,,,,,,501.0,189.0
A306,11,304.0,650.0,500.0,967.0,82.0,113.0,1156.0,8.0,21.0,,364.0,607.0,382.0
A307,11,,,534.0,,,,,,,,,,
